comment,date,rate,max_rate
"I watched this film at an advanced screening in New Zealand. I loved Transformers as a child, but was not a die hard fan, so I did not complain over the changes. However, I had decent expectations for this movie as people were saying it's better than expected.I can say that I thoroughly enjoyed the movie. However, it did fall a little flat on what I expected it to be. It's Michael Bay, ladies and gents, don't expect anything more.Transformers begins with the reason for the alien robots' existence. How the all important AllSpark (essentially the life giver) was lost into the vacuum of space after the robots divided between good and evil. Falling onto Earth, a handful of these entities travelled the galaxy to find this all important device. Great premise, but how about the execution? Visually, the film is astounding. ILM have outdone themselves once again and have created top notch visuals for others to measure up to. The robots look real, feel weighty yet elegant, and with every Bay movie, there are explosions. And what beautiful explosions they are. This is complemented with a hit-and-miss musical score. At times, the score is cinematic brilliance. At other times, you wonder why Linkin Park was included, when sequences with emotional pieces are suddenly juxtaposed with the current Billboard Hot 100.The acting is competent. I thought that with a cast mostly compromised of underwear models and hip hop artists, I would be disappointed. Shia LaBeouf (Sam Witwicky), Josh Duhamel (Cpt. Lennox), Tyrese Gibson (Sgt. Epps), and even Megan Fox (Mikaela) delivered surprisingly well. Even with Jon Voigt in the cast, you cannot see a distinct line in ability between the seasoned vet and relative new comers. But although the acting was top notch, it was severely hampered by the script.The script, to put it frankly, does not take itself seriously. At all. Firstly, there was a lack of story. Autobots and Decepticons want the AllSpark. One wants to defend it. The other wants to use it. Battle. Fin. Secondly, I could not remember one scene that did not have some humorous one liner put in to make the audience laugh. Even in the most grave of sequences, did some joker blurt out something (admittedly) funny, making you wonder ""Wait.... Earth's in danger, and you're cuing for a crash on the drums?!"" Some of the script was clever, and in the parts which were appropriately funny, hit the nail on the head (Shia LaBeouf is a child prodigy in comedy).Transformers. Everyone wants to know ""What about the Transformers?"". Well, personally, they were simply awesome. They could have been more 2D than they were and I still would have liked them. Optimus Prime, Bumblebee, Jazz, Frenzy, Ratchet... Megatron, Starscream, Bonecrusher, Barricade and Ironhide -- they were masterfully put on film.However, only two of those actually got a decent amount of character development -- Bumblebee and Optimus Prime. Bumblebee, being the first Transformer Sam sees, and Optimus, of course gets plenty of screen time being the Autobot leader. It's a shame that the Decepticons were only there to be the ""bad guys"", even Megatron. It would have definitely benefited the movie if all the robots were fleshed out and given some emotional attachment to the crowd. It doesn't, and this does have a few repercussions towards the end of the movie. Nevertheless, it was enjoyable to see them wreak havoc in different countries, and with the inevitable sequel, one can only hope that we get to know more about these ""loveable"" mechanical beings.It is definitely the must see summer flick of the year, and whilst not Oscar material, it is one of the best 'popcorn' movies of recent times.7.5/10**Upon a second screening, I found the impact of the movie to remain just the same as the first. In certain aspects, that impact heightened. New score 8/10","Jun 27, 2007",7,/10
"I was not a Transformers kid when I grew up in the 80's and I think that's why I wasn't so hard on Michael Bay's film when I caught it in the summer of 2007. Going into the film for the first time, the only characters I knew by name were Optimus Prime, Megatron, and Bumblebee (and I only knew of him through the mention of friends). So, without having the fanboy mentality, I was able to enjoy the movie as it was...and I did. I thought it was a fun action flick and one of the best popcorn movies from the year. Based on the Hasbro toyline and it's resulting animated series/comics, the film follows high-schooler Sam Witwicky who discovers his Camaro is a shape-shifting alien robot; he is soon brought into the middle of a war between the Autobots and the Decepticons, warring factions of a race of sentient robots.Let's be honest. The only things that matter about this movie are the special effects and the action sequences. ILM did a fantastic job with the Transformers in this film. The robots look amazing and their transformations are seamless. I've heard that some classic fans aren't satisfied with their designs but I felt they did a good job adding what realism they could to giant fighting robots. The action sequences aren't as abundant as one would expect, but I'm not complaining. I felt there were enough action scenes without going overboard and drowning out story. The battles feel epic and they aren't heavily edited into quick jump cuts so you can still understand what is going on.The cast does an adequate job and keep the movie from feeling B-grade. Shia LaBeouf was charismatic and had a good sense of comedic timing; John Turturro was a fun addition as the mental Sector 7 agent Simmons. Jon Voight seemed almost out of place in the film, though added a bit of class. I know there have been a lot of complaints about human characters in the movie, but it's a necessary element and I'm not complaining. The supporting cast did a great job; my favorites had to be Kevin Dunn and Julie White as Sam's eccentric parents. I felt the movie shouldn't have gone over 2 hours as it does begin to strain on the patience after a while but it still made for a fun ride.","Aug 17, 2009",8,/10
I enjoyed it. And there were some flaws but i liked it.,"Jun 30, 2020",7,/10
"Michael Bay has become something of a love to hate guy among certain section of critics, namely those who wants to promote politically correct feminist agenda who think they are better than others and want to inflict their ideals on others.Forget those idiots, just watch the movie for what it is, which is a super fun action pack movie which just about anyone can enjoy. Shia Labeouf is fabulous in this movie and the chemistry between him and Megan fox is great. And lets not forget the Transformers themslves which, even after 10 years, the visuals on these robots are still some of the best you'll ever see.","Feb 21, 2018",9,/10
"It's not a faithful adaptation, that transformers deserves, but now that we have a real Transformers movie, I can appreciate michael bay's first attempt for what it is. ""Transformers"" gives what you'd expect and it delivers it great, with incredible effects and breathtaking action, but then there's the human stuff, I find it kinda hilarious. A lot of the humans are annoying and others are boring but it's their over the top acting and dumb decision making that keep me entertained. Shia LaBeouf plays Sam Witwicky he is a good enough teen though his motivation for most of the film is Megan Fox. ""Transformers"" is worth watching just for the Transformers themselves with their ground breaking Transformation animation consisting of hundreds of moving parts and the action is just awesome and it's all it needed to be.","Sep 26, 2024",7,/10
,"Jul 9, 2007",1,/10
"For me just hearing the words ""Autobot"" and ""Decepticon"" brings back so many childhood memories. I was a massive fan of the G1 cartoons (never watched any of the spin-offs) and the Marvel comic books from the UK and US. The cartoon appealed to me as a child, while the comics took the mythos deeper in my teenage years with cosmic battles between Gods, a yin/ yang conversation regarding why certain Transformers are inherently good or evil. It was cracking stuff and it was with a lot of excitement that I greeted news of a new big budget movie.Transformers (2007) delivered! OK, so they fiddled with the origin story a little bit, but so do most of the different versions of the show. I thought they got the major characters spot on. Optimus, Bumblebee, Megatron and Starscream were all the same characters as in the TV show and comics. I really liked the fact that Bumblebee could only communicate through radio signals, and, after the execrable scene introducing the minor autobot characters and Optimus Prime's various sermons, really wish that had been the case for all of the autobots. The decepticons are far more interesting, though we see nowhere near enough of Starscream. Megatron and Soundwave are both effective and the best realised characterisations in the film.The humans in the story all do a good job. Shia Lebeouf had not yet been over exposed, and is actually quite entertaining as Spike. Megan Fox was a smoking hot brunette bombshell, still playing a stereotype (hot girl with a blokey hobby who deep down just wants to fit in), but at least not a damsel in distress as we typically see in these films. Spike's parents are awkward, but funny. John Turtorro's character seems to have accidentally stumbled into this film during a coffee break from a Coen brothers film. He seems like he has something much more interesting to do in an edgier film than this one. But his presence, while out of place, is welcome.My big complaint with this is that the the film, after doing a nice job of setting up for a finale, seems to go in light speed in its last twenty minutes. It's often difficult to tell who's fighting who. There's also a death scene that we are supposed to feel sad about, involving a character who's been in a handful of scenes, and had a maximum of two lines of clichéd stereotyped dialogue. The resolution is neat and sets up well for a sequel. Overall, this was a reasonably faithful big screen portrayal of the characters I loved growing up, if not the story. The arrival sequence, and Armageddon-ish soundtrack are both breathtaking and really hammer home a sense of awe and wonder as the Autobots arrive. The awkward attempts by Prime to communicate with humanity are funny. The human characters, apart from Turtorro (who acts like no human I've ever met) all seem to react to the Transformers and their war in the way a normal human being would react. It is a very different back story and beloved elements like the Autobot and decepticons Volcano and underwater bases are lost. But what's left is a the characters we love fighting out the same war, in a way a new generation will find accessible, and didn't alienate me, well not in this original version anyway. I am more than happy to share Optimus, Megatron and Bumblebee with a new generation of fans.","Sep 18, 2012",9,/10
"This movie is simply shocking! The story is taken from a children's cartoon and is now turned into an action packed alien take over the world movie. When I was about to see this movie I suddenly got a thought. What if this movie is just another Independence Day and War of the World. It is unmistakable that aliens taking over the world is an idea that has been worn out but what makes this movie shine is the personality. What its predecessors failed to do was give the alien/robot personality which is very different in Transformers. When one of the Autobots get hurt we can actually feel there pain as if they were human because of there developed characters in this movie. If I may say so myself, this is a must see!","Jul 29, 2007",7,/10
,"Jul 5, 2007",3,/10
"For those of you who are not fans of Michael Bay: for starters, do not watch this movie. It's really as simple as that. But, I've read some of the negative comments on this film, and it baffles me to read that all this film consists of is hot girls, hot action, and not the greatest acting. Come on, guys. This is a Michael Bay film, and let me emphasize the words MICHAEL BAY. When I think about him, I think about entertainment, and entertainment only, because that is what his films are about. With films like this, I don't go in expecting some great story, with amazing dialogue. This movie is not academy award worthy, nor should it be. This is an action film, that's what it's meant to be, and when it comes to action films, Bay knows how to deliver. Again, the storyline could be better, and Megan Fox could use some acting lessons, but like I said, when you watch these movies, you should watch them for entertainment. So, if you know what this film delivers, and you don't like Michael Bay, then by all means, skip this movie. But, if you do end up watching this movie, and say that it's nothing but a bunch of clanging metal and hot girls, well then, welcome to the world of Michael Bay. I saw it in theatres back in 2007, I went with an open mind, and I enjoyed it. 9/10 for me.","Oct 27, 2011",,
,"Mar 22, 2020",10,/10
,"Jun 28, 2007",7,/10
"You know that part of being human where you need things to matter, a lot. Theres no escape from it. This movie does it for me and can satisfy anyone else. Strong dramatic decision made in this one. Powerful time stunning move when Seeker climbs on the bars of a cesna plane and salutes walking by people who don't know who he is.","Apr 11, 2020",10,/10
,"May 27, 2008",6,/10
,"Apr 16, 2012",10,/10
,"Jul 3, 2007",6,/10
,"Jul 3, 2007",1,/10
This is the first science fiction movie I watched. I like it very much. I like Bumblebee.,"Mar 28, 2020",8,/10
"i came into this movie expecting a lot and tahnx to the advertising of this film, which barley showed any action, my already high expectations were met! first off the special effects are the best i have ever seen, and the last battle in the city has to be one of the best action scenes ever! no im not an effin campainer, this movie has been out for a year i don't think it needs any more campianing anyway, good cast for the most part except for the three computer nerds, lead by that Australian chick, they were pointless shia labeouff, is the same as always which is a good thing, hes funny and makes the robots believable megan fox is hot, and that alone makes her a good actress LOL anyway i was never a fan of the show, and im still not a fan of the show or toys i just love this movie though if u haven't seen it, why the hell not!","Apr 18, 2008",7,/10
,"Jul 5, 2007",1,/10
"Stop acting like you're honestly going to expect something more serious than an action movie and a lot of great special effects. It's Michael Bay, he's amazing at making Blockbuster popcorn kind of movies. Honestly, this is his transformers masterpiece. First transformers, amazing. He brought it to life. I mean, Bay is awesome at bringing modern action films to life. But he took all his elements both in military action films and science fiction and brought them both together and made this movie, and perfected the Transformer's movies to a end. Sucks he went on, but this film captivated all the elements of Transformer's purpose. Bay did an amazing job of balancing humor, action, suspense and most of all a summer blockbuster ever time he brought a Transformer's movie to the big screen.","Jul 5, 2023",9,/10
,"Jul 9, 2007",,
,"Jun 28, 2007",7,/10
"I remember this being so unique and cool when it first came out, and it still gives off the same vibes today. The action and CGI are amazing, the acting is well done, the actors and robots are well cast. It's a Micheal Bay movie, so of course it's just a bit too long. But the action keeps amped up throughout the entire movie. A one of a kind action/robot movie. Auto bots, roll out.","May 8, 2020",8,/10
"Linkin Freaking Park! How epic is that? Like c'mon, Linkin Park! Iconic movie moment. Like it just works so well at the end of this movie. There's no reason for any type of credit sequence to hit so hard. Unbelievable. Should this whole review just be about Linkin Park? Is that what the people want? Probably is. Not probably, 100% is. Wow. I'm hyped.I love this movie. Yeah, it's not a real go-getter, make you laugh make you cry, awards bait nonsense you never hear about until a week before the Oscars. This is just a hell freaking yeah movie. You like robots? Hell yeah! You like cars? Hell yeah! Boom, robot cars! Hell freaking yeah. Giddee up and roll out!","Dec 12, 2024",7,/10
"Hats off to Michael Bay, who went beyond anything - or any visuals - we've seen before to bring us this action fantasy spectacle. Almost every scene is masterfully done. The film is visually stunning and the action scenes are INCREDIBLE! The film combines so many elements of danger and suspense, and its also actually really funny during the lighthearted moments. It blends perfectly.Shia LaBeouf is very good in this film. The score by Steve Jablonsky is also really good and very effective. For a film with a running time of 144 minutes there literally never was a dull moment, as it kept the viewer engaged and captivated all the time. There honestly hasn't been an exciting action film like this is a while - certainly not on this level! Bloody hell, it was awesome! This was an absolute delight and feast to watch. Yeah, this is how you start a multi-billion dollar franchise!","May 12, 2019",8,/10
"Fantasy/action/invasion film. Transformers: The Beginning. The launch of Michael Bay's biggest franchise, which even mentions in the film that it is many times better than another of his works, Armageddon. Excellent directing, performances and plot, but also very good work in effects. An invasion film, with plenty of action, romance, but also a special friendship between the new protagonist and an alien robot - transformer. The story of the transformers into a special realization that if one removed the immature elements of Bay would be truly top notch and much more serious film. However, as a whole it is an excellent transfer of transformers on the big screen, and it is clear that it mainly targets young ages, but not young children. More young and teenagers, but of course also nostalgic of those times with the transformers and of course the entire film audience of the genre of action/invasion. Totally recommended.","Mar 15, 2021",7,/10
,"Jul 1, 2007",1,/10
"A movie about cool cars that turn into freaken robots! Add in alot of humour, a dash of romance and some great action scenes. What more do you need?","Jul 1, 2020",10,/10
"I rewatched this film and even though I'm familiar with the ending,it still gives a refreshing and satisfying experience. Shia protrayed the protagonist very well,a little quirky, clumsy at first meet,but turn out to be loyal, decisive and very protective for his car. His performance was quite natural and smooth that it became a retreat after I watched the newest protagonist's numb acting. And another highlight of this film is the very capable,calm and well-organised Squat team,how amazing when they fight bravely and brilliantly when they first encountered the abnormal enemy. The trust and dedication they have can be seen through those gripping, fast-pacing fighting scenes. And most of all,the Transformers,they are just powerful and reliable. The relationship between them and human is just simple,they took the responsibility to protect and take care of human,and in turn,human gave their help after misunderstandings. A really delightful and worthy rewatching.","Jul 14, 2023",7,/10
,"Jul 10, 2007",2,/10
"I loved it, had tons of fun from beginning to end. Come check this out if you are a fan of both action movies and/or comedies. It's a good movie to watch with your family or at a party. Let's not forget all the hot chicks in this movie ""am I right?"" Lol. This movie may not be as good as ""The Rock"" but it's still a blast to watch and shame on you if you don't go out and watch it because you will be missing out big time and that's never a good thing now is it?","Mar 2, 2017",10,/10
"For once, what I see in a film is what most others do. So unlike most comments I write, this one will be ""mainstream.""The way this is put together is based on fractional narrative. Its the notion that if you leave big holes in the story, things are stronger than if you seek to explain and fully reveal everything. Its a solid technique, often used in the story itself. Its used that way here, almost automatically as the cosmology invented here was devised for what, 8 year old toy consumers. But its extended. One extension may be an accident: characters appear and disappear at random with none of the completion or agency that we expect. I believe that's because Bay is a nitwit in this department and the guys in the front office thought it wouldn't matter. Also, its likely that Bay shot a 6 hour movie that makes some sense storywise and then he took out all the parts that got in the way of the ""value.""But there's another ""incomplete narrative"" element that I think was by design. The camera sees and understands very little of what is going on in the battles. The camera is looking in the wrong directions, is too close, shifts in panic and jumps from view to view (when close in) as if it didn't actually know what was to happen next. So you don't actually ""see"" a full transformation, or a battle event. Often you can't tell who are the good and bad robots. Often you cannot tell actually who's up and who's down as you could, say in your classical fight, all of which it seems come from that 1938 ""Robin Hood"" sword fight at the end.This cinematic technique is not new or novel. Its the first resort of filmmakers whose CGI aspirations outstrip the budget. But this is a whole new reason: that business of what you don't actually see is always grander than what you do.Combined with this is a second phenomenon, and here it fits perfectly. Its the use of the dimensional camera. In this case, sometimes the camera is as a human would act. Sometimes it is disembodied, but there's a very strict vocabulary here too, determined by the restrictions of cranes and helicopters. What we have now is something new, the camera that flits, that moves in all three dimensions. We saw it first on 100% animated cartoons. I think ""Treasure Planet"" was made just to test this. Pixar created a whole philosophy and took over Disney based on it.Then we saw it in CGI-heavy films. It was thrilling in ""Van Helsing,"" and there a new convention was tried: show something on screen that has similar behavior to the eye we will shift into. In Van Helsing's case, it was the three flying harpies, in particular (of course) the redheaded one. She flits with precisely the same gestures as the camera.Then we saw it full bore in ""Pirates of the Caribbean,"" and ""Kong Kong."" In the former it was architectural, and the latter fully integrated into the action. WETA led the way on this. There's a new technology that makes this within reach of even dopes like Bay. Its called preanimation, and what it does is completely model the scene before any work starts so that the camera has absolute freedom and isn't static as storyboards would have it. Then the virtual worlds and real shots are just busy work, all the creativity is in the design at this stage.You can see precisely which sequences were done by the preamination ""director,"" and which by Bay. The new ""law"" is followed in the sense that we have an on-screen avatar as exemplar of the flitting eye movements. Its a hypercaffeinated skeletal robot. It helps us understand how the eye moves and why it sees incompletely.Oh, and its not an offhand thing that the central goal of the plot is a search for ""spectacles.""So when you see this, and you wonder about whether we are worth saving as a people (which is the reason for the story), and you seriously do teeter on indecision, consider this: we are evolving very quickly in the way we see, the way we model things visually and the way introspective representations are internalized. For that alone, we deserve a chance at survival.Until next summer.Ted's Evaluation -- 3 of 3: Worth watching.","Jul 4, 2007",,
"It's far from a subtle work, and its action definitely takes place of a decent screenplay- but somehow Transformers is just enjoyable and entertaining enough to make for quite a fun ride. First off, needless to say really, the CGI is amazing. Not only does it continue to age rather well, but was certainly very ahead of its time. The acting isn't anything great but Shia LaBeouf, Josh Duhamel, and Megan Fox do prove to be charming leads at times- and are very entertaining to watch- despite their horribly written dialogue at times. The action scenes can feel a bit too drawn out at times, but when it works, it works very well, and it's certainly impressive to see these iconic characters at this scale. Its pacing is decent, its soundtrack is rather fitting. Its cinematography is a bit wonky at times, mainly towards the end, but only puts a small inconvenience on the film in total. In the end, Transformers is a mildly enjoyable action flick that certainly doesn't have as much brains as other films today and of the time- but charms just enough to memorable and at times a rather heartfelt and genuine tribute to the toys and cartoon a whole generation grew up on.My Rating: 6.8/10.","Mar 25, 2022",7,/10
